LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
2016-04-30 22:20:16 +0000,LC,3072,8724,10116,1414,-1704,-21,2016-04-30 22:20:16 +0000,RC,-2132,7956,12008,2922,-628,-2192
2016-04-30 22:20:16 +0000,LC,2960,9004,8140,5378,-1525,-592,2016-04-30 22:20:16 +0000,RC,-940,7184,6376,6384,-681,885
2016-04-30 22:20:16 +0000,LC,3056,8200,5912,-1185,-1687,2789,2016-04-30 22:20:16 +0000,RC,-1888,9440,12000,-3218,-1351,-3856
2016-04-30 22:20:16 +0000,LC,4516,10168,8656,329,-821,-592,2016-04-30 22:20:16 +0000,RC,-1812,8696,9876,-379,-111,545
2016-04-30 22:20:16 +0000,LC,3960,12940,7560,35,-1644,-216,2016-04-30 22:20:16 +0000,RC,-1868,11744,9840,693,294,1062
2016-04-30 22:20:16 +0000,LC,4208,8396,8096,-4630,-7329,1390,2016-04-30 22:20:16 +0000,RC,-2376,9116,10036,-3299,339,-496
2016-04-30 22:20:16 +0000,LC,5332,8744,8580,-1319,-243,-318,2016-04-30 22:20:16 +0000,RC,-1944,9664,11272,-523,1625,139
2016-04-30 22:20:17 +0000,LC,5500,9112,9408,-106,-1457,-364,2016-04-30 22:20:17 +0000,RC,-2056,9076,11516,-75,653,-236
2016-04-30 22:20:17 +0000,LC,5588,10348,9188,-232,-453,-695,2016-04-30 22:20:17 +0000,RC,-2172,9256,12000,-2515,-414,-417
2016-04-30 22:20:17 +0000,LC,5000,11232,10200,-1653,840,-896,2016-04-30 22:20:17 +0000,RC,-2724,10028,12388,-128,1141,80
2016-04-30 22:20:17 +0000,LC,5612,9712,9752,-1336,-1924,-596,2016-04-30 22:20:17 +0000,RC,-2232,9056,13400,-2567,913,1311
2016-04-30 22:20:17 +0000,LC,5656,13844,12416,4368,-697,-2469,2016-04-30 22:20:17 +0000,RC,-2836,9680,13080,-920,347,256
2016-04-30 22:20:17 +0000,LC,5300,9380,10496,-2915,27,1123,2016-04-30 22:20:17 +0000,RC,-3020,8536,12956,-2057,245,47
2016-04-30 22:20:17 +0000,LC,6672,10308,12272,-2492,-639,448,2016-04-30 22:20:18 +0000,RC,-3048,9656,14044,216,1079,846
2016-04-30 22:20:18 +0000,LC,6908,11016,12972,-352,108,-249,2016-04-30 22:20:18 +0000,RC,-4192,9496,16244,-2579,868,-925
2016-04-30 22:20:18 +0000,LC,8212,10340,13132,-1579,-911,-764,2016-04-30 22:20:18 +0000,RC,-4100,9872,17844,-512,1109,-1437
2016-04-30 22:20:18 +0000,LC,5016,8396,13672,-738,128,191,2016-04-30 22:20:18 +0000,RC,-4184,8856,16128,2003,-772,-988
2016-04-30 22:20:18 +0000,LC,5504,8972,12332,1720,-486,-142,2016-04-30 22:20:18 +0000,RC,-4308,9040,15256,193,-1054,-1415
2016-04-30 22:20:18 +0000,LC,5564,10036,11532,2161,-1776,877,2016-04-30 22:20:18 +0000,RC,-4408,9608,14412,2953,-1802,147
2016-04-30 22:20:18 +0000,LC,3732,10612,12088,3266,1017,177,2016-04-30 22:20:18 +0000,RC,-2300,6984,11956,-1492,-4307,-475
2016-04-30 22:20:19 +0000,LC,4860,10980,10680,2054,-619,1510,2016-04-30 22:20:19 +0000,RC,-692,6828,8212,4540,-1207,1376
2016-04-30 22:20:19 +0000,LC,2404,2204,964,2889,67,-436,2016-04-30 22:20:19 +0000,RC,-2292,5620,4988,684,-1391,-2404
2016-04-30 22:20:19 +0000,LC,4056,15936,9308,1646,-2312,243,2016-04-30 22:20:19 +0000,RC,-1116,13756,10908,-800,-106,2248
2016-04-30 22:20:19 +0000,LC,6608,10112,8592,-2056,-190,1151,2016-04-30 22:20:19 +0000,RC,-1072,9428,10964,1348,1303,-1254
2016-04-30 22:20:19 +0000,LC,3800,11160,6636,898,-1604,-2644,2016-04-30 22:20:19 +0000,RC,-1824,6972,8472,-2616,1163,-783
2016-04-30 22:20:19 +0000,LC,4936,10508,7292,-1109,-622,296,2016-04-30 22:20:19 +0000,RC,-2880,10136,12204,-2633,355,-812
2016-04-30 22:20:19 +0000,LC,4416,11320,8244,-4177,1765,-181,2016-04-30 22:20:20 +0000,RC,-2360,9416,11888,296,1665,-428
2016-04-30 22:20:20 +0000,LC,3868,10672,8744,-284,-41,-771,2016-04-30 22:20:20 +0000,RC,-2560,9356,12756,-1573,1743,-860
2016-04-30 22:20:20 +0000,LC,4496,11168,8900,-1382,-914,-404,2016-04-30 22:20:20 +0000,RC,-3548,12476,12440,-980,1797,795
2016-04-30 22:20:20 +0000,LC,5256,11184,9332,-1008,-1448,-566,2016-04-30 22:20:20 +0000,RC,-3284,10172,12840,752,1622,798
2016-04-30 22:20:20 +0000,LC,2580,11348,10252,949,1745,651,2016-04-30 22:20:20 +0000,RC,-3428,11596,12380,-570,-821,2009
2016-04-30 22:20:20 +0000,LC,5028,9940,11088,-2128,-3863,116,2016-04-30 22:20:20 +0000,RC,-3220,10084,13152,-2377,12,-117
2016-04-30 22:20:20 +0000,LC,4532,11160,10552,-1590,-1437,161,2016-04-30 22:20:20 +0000,RC,-3728,8592,12296,-753,765,960
2016-04-30 22:20:20 +0000,LC,4392,10580,12008,-874,-1912,98,2016-04-30 22:20:21 +0000,RC,-4600,12780,16564,1079,2250,1121
2016-04-30 22:20:21 +0000,LC,6480,13688,16380,750,-1175,-768,2016-04-30 22:20:21 +0000,RC,-3976,12556,15728,-747,-363,-1290
2016-04-30 22:20:21 +0000,LC,6624,11988,12372,95,273,189,2016-04-30 22:20:21 +0000,RC,-3840,10960,13296,3041,-490,-77
2016-04-30 22:20:21 +0000,LC,5436,11820,11256,1752,-144,-291,2016-04-30 22:20:21 +0000,RC,-4344,10992,13176,-803,-1643,-1863
2016-04-30 22:20:21 +0000,LC,4072,12528,10884,2521,-893,-617,2016-04-30 22:20:21 +0000,RC,-3244,11552,11888,2046,-2228,-1157
2016-04-30 22:20:21 +0000,LC,4996,11360,9400,1353,86,550,2016-04-30 22:20:21 +0000,RC,-3008,12324,12188,3282,1874,-818
2016-04-30 22:20:21 +0000,LC,3864,10528,6612,1708,-2392,-818,2016-04-30 22:20:21 +0000,RC,-164,-632,2944,-539,-2867,1989
2016-04-30 22:20:22 +0000,LC,1116,5024,124,-4078,2209,3707,2016-04-30 22:20:22 +0000,RC,-2820,21872,12924,437,690,-3707
2016-04-30 22:20:22 +0000,LC,3044,16900,11420,3046,-153,-3821,2016-04-30 22:20:22 +0000,RC,-2288,7892,9304,-702,301,-825
2016-04-30 22:20:22 +0000,LC,4616,11572,7700,-1245,-1954,2650,2016-04-30 22:20:22 +0000,RC,-2112,11300,9100,-108,670,1909
2016-04-30 22:20:22 +0000,LC,3808,9216,6084,103,-2192,-2561,2016-04-30 22:20:22 +0000,RC,-2312,9112,9876,-3496,906,34
2016-04-30 22:20:22 +0000,LC,5012,11164,8388,-2899,-1305,1372,2016-04-30 22:20:22 +0000,RC,-3204,7656,10992,-2398,22,-159
2016-04-30 22:20:22 +0000,LC,4240,9856,8308,-3289,-500,782,2016-04-30 22:20:22 +0000,RC,-3424,9932,11988,-2325,152,196
2016-04-30 22:20:22 +0000,LC,5136,10824,10348,-481,-1412,-247,2016-04-30 22:20:23 +0000,RC,-2100,11472,11560,324,1084,438
2016-04-30 22:20:23 +0000,LC,5340,10340,8868,-970,86,-792,2016-04-30 22:20:23 +0000,RC,-2080,10584,12376,-750,1211,-106
2016-04-30 22:20:23 +0000,LC,5484,10796,9676,-1203,1785,166,2016-04-30 22:20:23 +0000,RC,-3808,9980,13568,-621,1271,154
2016-04-30 22:20:23 +0000,LC,5956,10924,10632,-563,-174,290,2016-04-30 22:20:23 +0000,RC,-3496,9948,12732,-15,869,587
2016-04-30 22:20:23 +0000,LC,4924,8912,10476,-200,-4907,-988,2016-04-30 22:20:23 +0000,RC,-3552,10344,12664,-179,547,360
2016-04-30 22:20:23 +0000,LC,4704,10360,9528,-461,942,1226,2016-04-30 22:20:23 +0000,RC,-3992,10456,14060,-3446,561,-354
2016-04-30 22:20:23 +0000,LC,6252,11224,12020,-5098,-1097,1505,2016-04-30 22:20:23 +0000,RC,-5596,10048,17456,-2755,-1265,-2158
2016-04-30 22:20:23 +0000,LC,8660,12052,14560,-2811,868,1475,2016-04-30 22:20:24 +0000,RC,-4820,8584,17400,782,-652,-568
2016-04-30 22:20:24 +0000,LC,7884,8204,14672,-328,1889,1083,2016-04-30 22:20:24 +0000,RC,-4476,9028,15844,1267,-428,-265
2016-04-30 22:20:24 +0000,LC,7172,6744,13028,4690,-2375,-1408,2016-04-30 22:20:24 +0000,RC,-4272,8956,14532,2108,-764,-73
2016-04-30 22:20:24 +0000,LC,6680,10544,11936,488,-1070,700,2016-04-30 22:20:24 +0000,RC,-3044,10104,13356,3643,-3610,-26
2016-04-30 22:20:24 +0000,LC,7280,9024,10108,5399,-1707,-1608,2016-04-30 22:20:24 +0000,RC,-2648,10428,11700,5877,-345,-1178
2016-04-30 22:20:24 +0000,LC,4116,8448,7136,4023,1197,-741,2016-04-30 22:20:24 +0000,RC,-2276,872,2016,-135,-2555,350
2016-04-30 22:20:24 +0000,LC,1516,6060,752,2085,400,1883,2016-04-30 22:20:24 +0000,RC,-4788,16516,13032,-1447,20,-5281
2016-04-30 22:20:25 +0000,LC,2984,15876,9524,-1868,1297,-2974,2016-04-30 22:20:25 +0000,RC,-3680,6908,9040,672,1085,317
2016-04-30 22:20:25 +0000,LC,4912,12404,8460,-794,-1771,1324,2016-04-30 22:20:25 +0000,RC,-2732,12076,9532,-1955,838,-459
2016-04-30 22:20:25 +0000,LC,4460,8584,7444,-722,-835,-1519,2016-04-30 22:20:25 +0000,RC,-3008,8368,10272,-1336,1500,-379
