LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
2016-05-05 01:05:40 +0000,LC,3420,-16840,-1364,845,28,1683,2016-05-05 01:04:03 +0000,RC,-5532,-17336,1220,4048,7883,3633
2016-05-05 01:05:40 +0000,LC,2068,-17764,452,1056,18,1561,2016-05-05 01:04:03 +0000,RC,-3208,-14864,-604,-3247,2281,2512
2016-05-05 01:05:40 +0000,LC,2616,-16836,-336,-282,308,1432,2016-05-05 01:04:03 +0000,RC,-6432,-14676,-3940,-4990,401,1708
2016-05-05 01:05:41 +0000,LC,860,-22176,192,-10899,-2125,-2114,2016-05-05 01:04:03 +0000,RC,-8236,-14660,-2632,-6918,-800,2144
2016-05-05 01:05:41 +0000,LC,5420,-21280,-8476,-8148,-2458,-6163,2016-05-05 01:04:04 +0000,RC,-6780,-13572,-2864,415,-1879,-2085
2016-05-05 01:05:41 +0000,LC,3544,-12832,-6524,-2373,-596,-1647,2016-05-05 01:04:04 +0000,RC,-7324,-14548,-5012,3162,264,-2998
2016-05-05 01:05:41 +0000,LC,2772,-5636,-2836,-1024,-575,637,2016-05-05 01:04:04 +0000,RC,-8840,-15464,-3156,-2535,-2709,-387
2016-05-05 01:05:41 +0000,LC,3304,-9600,-4160,-34,872,2951,2016-05-05 01:04:04 +0000,RC,-1172,-16788,-2120,-600,1363,1152
2016-05-05 01:05:41 +0000,LC,7700,-16000,-9188,6420,-1218,-790,2016-05-05 01:04:04 +0000,RC,-4536,-14764,-1688,148,-938,289
2016-05-05 01:05:42 +0000,LC,5052,-25272,-6156,5198,-2505,5420,2016-05-05 01:05:40 +0000,RC,-4212,-17136,-160,-351,-122,-251
2016-05-05 01:05:42 +0000,LC,3040,-24624,-208,-3209,-1974,-2412,2016-05-05 01:05:40 +0000,RC,-4012,-17280,528,446,-1241,-547
2016-05-05 01:05:42 +0000,LC,5996,-18900,-5936,-7223,-432,-4786,2016-05-05 01:05:40 +0000,RC,-3924,-16704,-8,629,-247,-274
